AppName,ExecutablePath,ShortcutPath,AppUserModelID
Windows PowerShell ISE (x86),C:\WINDOWS\syswow64\WindowsPowerShell\v1.0\PowerShell_ISE.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE (x86).lnk,
Windows PowerShell ISE,C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE.lnk,
Console RAR manual,C:\Program Files\WinRAR\Rar.txt,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\WinRAR\Console RAR manual.lnk,
What is new in the latest version,C:\Program Files\WinRAR\WhatsNew.txt,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\WinRAR\What is new in the latest version.lnk,
WinRAR help,C:\Program Files\WinRAR\WinRAR.chm,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\WinRAR\WinRAR help.lnk,
WinRAR,C:\Program Files\WinRAR\WinRAR.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\WinRAR\WinRAR.lnk,
Administrative Tools,C:\WINDOWS\system32\control.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Administrative Tools.lnk,
File Explorer,,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\File Explorer.lnk,
FreeYourMusic,C:\Users\srika\AppData\Local\Programs\freeyourmusic\FreeYourMusic.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\FreeYourMusic.lnk,
JaxCore,C:\Program Files\Rainmeter\Rainmeter.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\JaxCore.lnk,
Opera GX Browser,C:\Users\srika\AppData\Local\Programs\Opera GX\opera.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Opera GX Browser.lnk,
卸载360 Secure Browser,,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\360 Secure Browser\卸载360 Secure Browser.lnk,
LiveCaptions,C:\WINDOWS\system32\LiveCaptions.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\LiveCaptions.lnk,
Magnify,C:\WINDOWS\system32\magnify.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\Magnify.lnk,
Narrator,C:\WINDOWS\system32\narrator.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\Narrator.lnk,
On-Screen Keyboard,C:\WINDOWS\system32\osk.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\On-Screen Keyboard.lnk,
VoiceAccess,C:\WINDOWS\system32\voiceaccess.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\VoiceAccess.lnk,
Discord,C:\Users\srika\AppData\Local\Discord\app-1.0.9191\Discord.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Discord Inc\Discord.lnk,
